Equipo,Componente,Id,Resultado,Horas Funcionamiento,Horas del Aceite,Fecha de Análisis,B,Nit,Oxi,Sul,St,V,Al,Cr,Cu,Fe,Pb,Mo,Ni,Sn,Si,K,Na,W,F,A,ISO,PQI,Ba,Ca,Mg,Mn,P,Zn,Ag,Ti,V40,V100,TBN,TAN,ISO14,ISO4,ISO6
1359,Diferencial Trasero,293567,1,49843,479,2019-05-07 00:00:00.000,85,NULL,14.6,NULL,NULL,0.1,0.1,0.1,25.3,9.7,2.5,0.1,0.1,2,2.1,0.1,5.2,NULL,NULL,NULL,19/16/13,0,0.1,266,5.8,0.1,220,47.5,0.1,0.1,23.1,NULL,NULL,1.1,NULL,NULL,NULL
1359,Diferencial Trasero,298021,1,50126,762,2019-05-26 00:00:00.000,88.1,NULL,15.8,NULL,NULL,0.1,0.5,0.1,31.6,12.1,0.7,1.9,0.6,0.1,2.3,0.1,5.1,NULL,NULL,NULL,19/17/14,0,0.1,264,4.6,0.1,227,44.5,0.1,0.2,23.14,NULL,NULL,1.1,NULL,NULL,NULL
1359,Mando Final TD,279969,3,49236,936,2019-03-21 00:00:00.000,76.2,NULL,NULL,NULL,NULL,0.1,0.6,0.3,48.8,22.6,4.6,0.1,1.2,1.4,1.6,0.1,5.3,NULL,NULL,NULL,20/17/12,0,0.1,521,5.4,0.4,270,164,0.2,0.1,20.96,NULL,NULL,NULL,NULL,NULL,NULL
1359,Mando Final TD,298024,1,50126,762,2019-05-26 00:00:00.000,85.2,NULL,NULL,NULL,NULL,0.1,0.1,0.1,31.6,11.1,1.5,0.1,0.4,1.6,1.8,0.1,5,NULL,NULL,NULL,17/15/13,0,0.1,272,4.4,0.2,222,43.1,0.1,0.1,23.18,NULL,NULL,NULL,NULL,NULL,NULL
1359,Mando Final TI,207561,1,43266,2379,2018-03-07 00:00:00.000,186,NULL,NULL,NULL,NULL,0.1,0.9,0.4,27.7,41.1,0.5,0.2,0.8,0.1,3.4,0.1,6.3,NULL,NULL,NULL,18/16/10,0,0.1,177,1.4,0.1,248,31.3,0.1,0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1359,Mando Final TI,207565,1,44238,3351,2018-05-02 00:00:00.000,75.3,NULL,NULL,NULL,NULL,0.1,0.1,0.5,28.7,48.9,0.8,0.1,0.4,0.1,2,0.1,8.2,NULL,NULL,NULL,18/16/10,0,0.1,354,2.9,0.1,293,133,0.1,0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1359,Mando Final TI,207566,1,44460,164,2018-05-19 00:00:00.000,86.4,NULL,NULL,NULL,NULL,0.1,0.1,0.2,14.4,21.5,0.2,0.4,0.8,0.1,5.4,0.1,5.4,NULL,NULL,NULL,19/17/11,0,0.1,257,2.8,0.1,229,55.1,0.1,0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1355,Convertidor,278554,1,22349,808,2019-03-14 00:00:00.000,3,NULL,NULL,NULL,NULL,0,1,0,4,4,0,0,0,0,6,1,4,N,NULL,NULL,211814,2,0,3250,11,0,958,1170,0,0,NULL,10.8,NULL,NULL,14,21,18
1355,Mando Final TD,294771,3,23153,424,2019-05-12 00:00:00.000,87,3,7,11,0,0,0,1,107,58,37,0,1,3,10,1,10,N,NULL,NULL,S-M,20,0,377,2,1,328,41,0,0,NULL,24.4,NULL,NULL,NULL,NULL,NULL
1355,Masa Derecha,284180,3,22729,380,2019-04-03 00:00:00.000,98,NULL,NULL,NULL,NULL,0,35,3,2,140,0,1,16,1,123,9,15,N,NULL,NULL,S-M,70,0,318,6,1,309,13,0,2,NULL,24.6,NULL,NULL,NULL,NULL,NULL
